transition_wavenumber	uncertainty	state_upper	v_upper	J_upper	F_upper	ef_upper	state_lower	v_lower	J_lower	F_lower	ef_lower	id
43767.389974	0.05	B3Sigma-	4	5	F2	e	X3Sigma-	0	5	F1	f	22HeStLy.247
43763.683818	0.05	B3Sigma-	4	6	F2	e	X3Sigma-	0	6	F1	f	22HeStLy.248
43759.481057	0.05	B3Sigma-	4	7	F2	e	X3Sigma-	0	7	F1	f	22HeStLy.249
43754.789194	0.05	B3Sigma-	4	8	F2	e	X3Sigma-	0	8	F1	f	22HeStLy.250
43749.613054	0.05	B3Sigma-	4	9	F2	e	X3Sigma-	0	9	F1	f	22HeStLy.251
43743.955860	0.05	B3Sigma-	4	10	F2	e	X3Sigma-	0	10	F1	f	22HeStLy.252
43737.819838	0.05	B3Sigma-	4	11	F2	e	X3Sigma-	0	11	F1	f	22HeStLy.253
43731.206581	0.05	B3Sigma-	4	12	F2	e	X3Sigma-	0	12	F1	f	22HeStLy.254
43724.117258	0.05	B3Sigma-	4	13	F2	e	X3Sigma-	0	13	F1	f	22HeStLy.255
43716.552753	0.05	B3Sigma-	4	14	F2	e	X3Sigma-	0	14	F1	f	22HeStLy.256
43708.513751	0.05	B3Sigma-	4	15	F2	e	X3Sigma-	0	15	F1	f	22HeStLy.257
