transition_wavenumber	uncertainty	state_upper	v_upper	J_upper	F_upper	ef_upper	state_lower	v_lower	J_lower	F_lower	ef_lower	id
43573.999152	0.05	B3Sigma-	4	25	F1	e	X3Sigma-	0	26	F1	e	22HeStLy.223
43560.013425	0.05	B3Sigma-	4	26	F1	e	X3Sigma-	0	27	F1	e	22HeStLy.224
43545.560774	0.05	B3Sigma-	4	27	F1	e	X3Sigma-	0	28	F1	e	22HeStLy.225
43530.641190	0.05	B3Sigma-	4	28	F1	e	X3Sigma-	0	29	F1	e	22HeStLy.226
43515.254658	0.05	B3Sigma-	4	29	F1	e	X3Sigma-	0	30	F1	e	22HeStLy.227
43499.401162	0.05	B3Sigma-	4	30	F1	e	X3Sigma-	0	31	F1	e	22HeStLy.228
43483.080682	0.05	B3Sigma-	4	31	F1	e	X3Sigma-	0	32	F1	e	22HeStLy.229
43466.293193	0.05	B3Sigma-	4	32	F1	e	X3Sigma-	0	33	F1	e	22HeStLy.230
43449.038671	0.05	B3Sigma-	4	33	F1	e	X3Sigma-	0	34	F1	e	22HeStLy.231
43431.317086	0.05	B3Sigma-	4	34	F1	e	X3Sigma-	0	35	F1	e	22HeStLy.232
43413.128407	0.05	B3Sigma-	4	35	F1	e	X3Sigma-	0	36	F1	e	22HeStLy.233
43394.472600	0.05	B3Sigma-	4	36	F1	e	X3Sigma-	0	37	F1	e	22HeStLy.234
43375.349630	0.05	B3Sigma-	4	37	F1	e	X3Sigma-	0	38	F1	e	22HeStLy.235
43355.759457	0.05	B3Sigma-	4	38	F1	e	X3Sigma-	0	39	F1	e	22HeStLy.236
43335.702041	0.05	B3Sigma-	4	39	F1	e	X3Sigma-	0	40	F1	e	22HeStLy.237
43315.177339	0.05	B3Sigma-	4	40	F1	e	X3Sigma-	0	41	F1	e	22HeStLy.238
43294.185305	0.05	B3Sigma-	4	41	F1	e	X3Sigma-	0	42	F1	e	22HeStLy.239
43272.725894	0.05	B3Sigma-	4	42	F1	e	X3Sigma-	0	43	F1	e	22HeStLy.240
43250.799055	0.05	B3Sigma-	4	43	F1	e	X3Sigma-	0	44	F1	e	22HeStLy.241
43228.404738	0.05	B3Sigma-	4	44	F1	e	X3Sigma-	0	45	F1	e	22HeStLy.242
43205.542889	0.05	B3Sigma-	4	45	F1	e	X3Sigma-	0	46	F1	e	22HeStLy.243
43182.213453	0.05	B3Sigma-	4	46	F1	e	X3Sigma-	0	47	F1	e	22HeStLy.244
43158.416373	0.05	B3Sigma-	4	47	F1	e	X3Sigma-	0	48	F1	e	22HeStLy.245
43134.151590	0.05	B3Sigma-	4	48	F1	e	X3Sigma-	0	49	F1	e	22HeStLy.246
43109.419044	0.05	B3Sigma-	4	49	F1	e	X3Sigma-	0	50	F1	e	22HeStLy.247
43766.776576	0.05	B3Sigma-	4	1	F2	e	X3Sigma-	0	1	F1	f	22HeStLy.248
43765.329563	0.05	B3Sigma-	4	2	F2	e	X3Sigma-	0	2	F1	f	22HeStLy.249
43763.266523	0.05	B3Sigma-	4	3	F2	e	X3Sigma-	0	3	F1	f	22HeStLy.250
43760.643154	0.05	B3Sigma-	4	4	F2	e	X3Sigma-	0	4	F1	f	22HeStLy.251
43757.494093	0.05	B3Sigma-	4	5	F2	e	X3Sigma-	0	5	F1	f	22HeStLy.252
43753.840023	0.05	B3Sigma-	4	6	F2	e	X3Sigma-	0	6	F1	f	22HeStLy.253
43749.693455	0.05	B3Sigma-	4	7	F2	e	X3Sigma-	0	7	F1	f	22HeStLy.254
43745.062189	0.05	B3Sigma-	4	8	F2	e	X3Sigma-	0	8	F1	f	22HeStLy.255
43739.951270	0.05	B3Sigma-	4	9	F2	e	X3Sigma-	0	9	F1	f	22HeStLy.256
43734.364068	0.05	B3Sigma-	4	10	F2	e	X3Sigma-	0	10	F1	f	22HeStLy.257
